Frame 38: Sorpresa: 0.0006, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0203, Triste: 0.0026, Disgustado: 0.0081, Feliz: 0.9683
Frame 39: Sorpresa: 0.0108, Miedo: 0.0009, Enojado: 0.0043, Neutral: 0.0202, Triste: 0.0069, Disgustado: 0.0338, Feliz: 0.9231
Frame 40: Sorpresa: 0.0028, Miedo: 0.0001, Enojado: 0.0003, Neutral: 0.0934, Triste: 0.0236, Disgustado: 0.0284, Feliz: 0.8514
Frame 41: Sorpresa: 0.0024, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0171, Triste: 0.0054, Disgustado: 0.0062, Feliz: 0.9686
Frame 42: Sorpresa: 0.0030, Miedo: 0.0002, Enojado: 0.0004, Neutral: 0.1298, Triste: 0.0093, Disgustado: 0.0212, Feliz: 0.8360
Frame 43: Sorpresa: 0.0010, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0025, Triste: 0.0006, Disgustado: 0.0018, Feliz: 0.9942
Frame 44: Sorpresa: 0.0026, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0036, Triste: 0.0007, Disgustado: 0.0015, Feliz: 0.9916
Frame 45: Sorpresa: 0.0086, Miedo: 0.0012, Enojado: 0.0022, Neutral: 0.0292, Triste: 0.0116, Disgustado: 0.0136, Feliz: 0.9336
Frame 46: Sorpresa: 0.0016, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0037, Triste: 0.0020, Disgustado: 0.0010, Feliz: 0.9916
Frame 47: Sorpresa: 0.0025, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0016, Triste: 0.0008, Disgustado: 0.0006, Feliz: 0.9944
Frame 48: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0204, Triste: 0.0012, Disgustado: 0.0027, Feliz: 0.9752
Frame 49: Sorpresa: 0.0010, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0042, Triste: 0.0007, Disgustado: 0.0019, Feliz: 0.9921
Frame 50: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0004, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9994
Frame 51: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0054, Triste: 0.0002, Disgustado: 0.0005, Feliz: 0.9935
Frame 52: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0013, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9986
Frame 53: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0019, Triste: 0.0002, Disgustado: 0.0006, Feliz: 0.9966
Frame 54: Sorpresa: 0.0006, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0034, Triste: 0.0002, Disgustado: 0.0010, Feliz: 0.9947
Frame 55: Sorpresa: 0.0009, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0078, Triste: 0.0005, Disgustado: 0.0026, Feliz: 0.9881
Frame 56: Sorpresa: 0.0068, Miedo: 0.0001, Enojado: 0.0000, Neutral: 0.0064, Triste: 0.0001, Disgustado: 0.0007, Feliz: 0.9859
Frame 57: Sorpresa: 0.0006, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0011, Triste: 0.0001, Disgustado: 0.0002, Feliz: 0.9979
Frame 58: Sorpresa: 0.0013, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0005, Triste: 0.0001, Disgustado: 0.0004, Feliz: 0.9976
Frame 59: Sorpresa: 0.0008, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0002, Triste: 0.0001, Disgustado: 0.0001, Feliz: 0.9988
Frame 60: Sorpresa: 0.0044, Miedo: 0.0001, Enojado: 0.0011, Neutral: 0.0044, Triste: 0.0003, Disgustado: 0.0074, Feliz: 0.9823
Frame 61: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0002, Neutral: 0.0004, Triste: 0.0001, Disgustado: 0.0006, Feliz: 0.9985
Frame 62: Sorpresa: 0.0071, Miedo: 0.0001, Enojado: 0.0001, Neutral: 0.0012, Triste: 0.0000, Disgustado: 0.0006, Feliz: 0.9908
Frame 63: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0005, Triste: 0.0001, Disgustado: 0.0003, Feliz: 0.9987
Frame 64: Sorpresa: 0.0007, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0005, Triste: 0.0000, Disgustado: 0.0006, Feliz: 0.9982
Frame 65: Sorpresa: 0.0023, Miedo: 0.0002, Enojado: 0.0006, Neutral: 0.1772, Triste: 0.0198, Disgustado: 0.0559, Feliz: 0.7439
Frame 66: Sorpresa: 0.0079, Miedo: 0.0008, Enojado: 0.0024, Neutral: 0.6243, Triste: 0.0283, Disgustado: 0.0772, Feliz: 0.2590
Frame 67: Sorpresa: 0.0011, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.9296, Triste: 0.0149, Disgustado: 0.0262, Feliz: 0.0280
Frame 68: Sorpresa: 0.0088, Miedo: 0.0048, Enojado: 0.0079, Neutral: 0.5526, Triste: 0.0710, Disgustado: 0.1586, Feliz: 0.1963
Frame 69: Sorpresa: 0.0073, Miedo: 0.0002, Enojado: 0.0004, Neutral: 0.1149, Triste: 0.0033, Disgustado: 0.0380, Feliz: 0.8359
Frame 70: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0141, Triste: 0.0000, Disgustado: 0.0019, Feliz: 0.9837
Frame 71: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0009, Triste: 0.0001, Disgustado: 0.0011, Feliz: 0.9977
